iter	Passed	Remaining
0	16	16543
1	32	16005
2	46	15384
3	62	15452
4	77	15331
5	93	15452
6	109	15496
7	123	15340
8	139	15327
9	153	15238
10	169	15224
11	184	15167
12	200	15229
13	215	15172
14	232	15272
15	247	15221
16	262	15166
17	276	15109
18	291	15069
19	306	15003
20	320	14938
21	334	14866
22	349	14834
23	363	14789
24	377	14740
25	392	14714
26	407	14681
27	423	14699
28	438	14682
29	453	14656
30	467	14628
31	485	14680
32	502	14711
33	519	14768
34	536	14803
35	552	14792
36	570	14849
37	587	14872
38	603	14860
39	619	14871
40	635	14855
41	652	14875
42	667	14850
43	687	14933
44	708	15037
45	725	15048
46	740	15013
47	754	14954
48	768	14906
49	782	14865
50	796	14813
51	809	14756
52	822	14704
53	836	14660
54	850	14611
55	864	14565
56	877	14518
57	891	14479
58	905	14445
59	920	14421
60	936	14413
61	951	14400
62	967	14395
63	984	14396
64	1000	14388
65	1015	14369
66	1031	14360
67	1047	14353
68	1062	14334
69	1076	14300
70	1089	14260
71	1104	14233
72	1118	14203
73	1132	14166
74	1146	14136
75	1160	14105
76	1173	14072
77	1187	14038
78	1201	14009
79	1216	13992
80	1230	13955
81	1244	13930
82	1258	13899
83	1271	13870
84	1285	13835
85	1300	13817
86	1313	13788
87	1329	13779
88	1345	13773
89	1360	13758
90	1375	13743
91	1391	13735
92	1407	13731
93	1422	13710
94	1436	13686
95	1451	13671
96	1465	13647
97	1479	13618
98	1494	13597
99	1507	13569
100	1521	13547
101	1540	13560
102	1554	13537
103	1569	13520
104	1583	13499
105	1597	13471
106	1610	13444
107	1625	13422
108	1639	13401
109	1653	13377
110	1667	13357
111	1681	13334
112	1695	13311
113	1709	13287
114	1723	13263
115	1737	13238
116	1750	13213
117	1764	13189
118	1778	13169
119	1792	13145
120	1805	13118
121	1820	13100
122	1833	13076
123	1848	13058
124	1862	13040
125	1878	13033
126	1893	13013
127	1907	12992
128	1921	12972
129	1936	12957
130	1950	12941
131	1964	12918
132	1978	12899
133	1992	12875
134	2005	12851
135	2019	12832
136	2033	12810
137	2046	12786
138	2060	12763
139	2074	12745
140	2088	12725
141	2102	12702
142	2116	12686
143	2130	12663
144	2144	12643
145	2158	12624
146	2172	12607
147	2186	12585
148	2199	12561
149	2212	12540
150	2226	12519
151	2240	12498
152	2254	12483
153	2268	12464
154	2282	12442
155	2296	12424
156	2310	12404
157	2323	12383
158	2337	12364
159	2351	12345
160	2365	12326
161	2379	12310
162	2394	12295
163	2408	12277
164	2423	12264
165	2438	12250
166	2453	12236
167	2468	12223
168	2482	12208
169	2498	12198
170	2512	12180
171	2526	12163
172	2540	12146
173	2555	12130
174	2569	12114
175	2584	12098
176	2598	12083
177	2613	12067
178	2627	12052
179	2641	12035
180	2656	12020
181	2670	12004
182	2685	11990
183	2699	11970
184	2713	11954
185	2727	11936
186	2741	11917
187	2754	11898
188	2768	11879
189	2782	11860
190	2797	11848
191	2810	11829
192	2824	11810
193	2838	11790
194	2852	11774
195	2866	11759
196	2880	11742
197	2895	11726
198	2908	11708
199	2922	11689
200	2937	11678
201	2953	11666
202	2967	11650
203	2981	11632
204	2994	11613
205	3008	11597
206	3023	11581
207	3037	11566
208	3052	11552
209	3067	11539
210	3086	11542
211	3100	11524
